"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL537424";"";"None";"514.11";"0";"4.99";"15";"CCCCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869755";"Inhibition of radio-isotope labeled SDF1-alpha binding to human recombinant CXCR4";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138901";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"10.0"
"CHEMBL436083";"";"None";"794.02";"2";"0.18";"16q";"N=C(N)NCCCN[C@H]1CSSC[C@H](C(=O)NCCc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"7.56";"0.15";"5.82";"2.18";"0";"CHEMBL827762";"Inhibition of [125I]SDF-1 binding to C-X-C chemokine receptor type 4 (CXCR4) expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144415";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"1.0"
"CHEMBL191949";"";"None";"677.81";"2";"-1.14";"20c";"N=C(N)NCCC(=O)N[C@H]1CC/C=C\CC[C@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"7.38";"0.14";"6.14";"1.75";"0";"CHEMBL832941";"Inhibition of [125I]SDF-1 binding to C-X-C chemokine receptor type 4 (CXCR4) expressed in CHO cells; range = 1-10 uM";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144415";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"10.0"
"CHEMBL518924";"MAVORIXAFOR";"4.0";"349.48";"0";"3.58";"2, AMD11070";"NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"21.53";"0.40";"3.94";"10.62";"0";"CHEMBL3097223";"Antagonist activity at CXCR4 in human PBMC assessed as inhibition of HIV-1 3B infection";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091329";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";"30.0"
"CHEMBL3091692";"";"None";"491.68";"0";"2.79";"26";"NCCCCN(C[C@H]1Cc2ccccc2CN1CC(=O)N1CCOCC1)[C@H]1CCCc2cccnc21";"IC50";"'='";"570.0";"nM";"6.24";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3097226";"Antagonist activity at CXCR4 in human Chem-1 cells assessed as inhibition of SDF-1alpha-mediated calcium flux preincubated for 10 mins by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Chem-1";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091329";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";"0.57"
"CHEMBL1949730";"";"None";"743.87";"2";"-0.73";"5";"CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=N)N";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"11.69";"0.22";"9.43";"3.10";"0";"CHEMBL1954783";"Displacement of [125I]-CPCR4 from CXCR4 receptor in human Jurkat cells after 2 hrs by gamma counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1949612";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3307526";"";"";"";"2.0"
"CHEMBL366033";"";"None";"702.77";"2";"-0.47";"23n";"N=C(N)NCCC[C@@H]1NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O";"IC50";"'='";"610.0";"nM";"6.21";"";"";"UO_0000065";"8.84";"0.17";"6.68";"2.35";"0";"CHEMBL827762";"Inhibition of [125I]SDF-1 binding to C-X-C chemokine receptor type 4 (CXCR4) expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144415";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"0.61"
"CHEMBL192183";"";"None";"727.83";"2";"-1.58";"23o";"N=C(N)NCCC[C@@H]1NC(=O)[C@@H]2C[C@@H](N=C(N)N)CN2C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"10.99";"0.21";"9.58";"2.82";"0";"CHEMBL827762";"Inhibition of [125I]SDF-1 binding to C-X-C chemokine receptor type 4 (CXCR4) expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144415";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"0.01"
"CHEMBL3327367";"";"None";"568.68";"2";"-1.13";"4";"CC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O";"EC50";"'='";"86000.0";"nM";"4.07";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3368946";"Antagonist activity at human CXCR4 expressed in COS7 cells assessed as inhibition of [3H]inositol-phosphates formation after 90 mins by scintillation proximity-based functional assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352041";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"CHEMBL3307648";"";"";"";"86.0"
"CHEMBL3327369";"";"None";"608.75";"2";"-0.34";"6";"N=C(N)NCCC[C@@H]1NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3368946";"Antagonist activity at human CXCR4 expressed in COS7 cells assessed as inhibition of [3H]inositol-phosphates formation after 90 mins by scintillation proximity-based functional assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL2107";"C-X-C chemokine receptor type 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352041";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"CHEMBL3307648";"";"";"";"100.0"
