Assay Type,Molecule Name,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,Original Smiles,nM,Inhibitor
F,,554.74,4.84,1.0,IC50,=,123.0,nM,C[C@@H]1CN(C(=O)Cn2c3ccccc3c3ccnc(CN(CCCCN)[C@H]4CCCc5cccnc54)c32)C[C@H](C)O1,123.0,1
B,,428.58,3.79,0.0,IC50,>,7.0,nM,CN(CCc1ccccc1)C[C@@H]1CCN(CCc2c[nH]c3ccc(-n4cnnc4)cc23)C1,7.0,0
B,,644.73,-0.32,2.0,IC50,=,63.0,nM,C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CNC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O,63.0,1
F,,404.6,3.87,0.0,IC50,=,161.0,nM,c1ccc2c(c1)CN[C@@H](CN(CC[C@@H]1CCCNC1)[C@H]1CCCc3cccnc31)C2,161.0,1
F,,464.57,6.43,1.0,IC50,>,3000.0,nM,CCCCN(c1nc2ccccc2o1)C(c1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C1CC1,3000.0,0
B,,888.04,1.89,2.0,IC50,=,10000.0,nM,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(N)=O,10000.0,0
B,,595.74,6.97,2.0,IC50,>,1000.0,nM,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,1000.0,0
B,,430.69,5.23,1.0,IC50,=,1873.0,nM,C1=C(CS/C(=N\C2CCCCC2)NC23CC4CC(CC(C4)C2)C3)N2CCN=C2S1,1088.5,0
F,,394.54,3.68,0.0,IC50,=,28.0,nM,C/C(CN)=C(\F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,28.0,1
B,,418.58,4.82,0.0,IC50,>,30000.0,nM,C[C@H](NC(=S)Nc1sc2c(c1C(=O)OC(C)(C)C)CCOC2)c1ccccc1,30000.0,0
B,,2224.61,,,IC50,=,502.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(N)=O,502.0,0
B,,346.48,4.7,0.0,IC50,>,10000.0,nM,CC1CCCc2sc(NC(=S)Nc3ccccc3)c(C(=O)O)c21,10000.0,0
F,,326.38,2.78,0.0,IC50,=,1000.0,nM,CSc1nnc(-c2ccc(CNC(=O)c3ccccc3)nc2)o1,1000.0,0
B,,303.32,2.41,0.0,IC50,>,10000.0,nM,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,10000.0,0
B,,488.64,5.72,1.0,IC50,=,29200.0,nM,c1ccc(CNCc2ccc(CN(Cc3nc4ccccc4[nH]3)[C@@H]3CCCc4cccnc43)cc2)nc1,29200.0,0
B,,414.68,4.49,0.0,IC50,=,155.5,nM,c1cc(CNCCCNC2CCCCC2)cc(CNCCCNC2CCCCC2)c1,155.5,1
B,,366.51,2.69,0.0,IC50,=,630.0,nM,CN(C)C1CCN(N(Cc2ccncn2)C2CCCc3cccnc32)CC1,630.0,0
F,,433.64,3.64,0.0,IC50,=,16.9,nM,CC(C)N1CCN(c2cccc3c2C[C@H](CN(C)[C@H]2CCCc4cccnc42)NC3)CC1,16.9,1
B,,406.58,3.22,0.0,IC50,=,51.0,nM,Cc1nc(CN(CC2CC2)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,51.0,1
B,,999.11,-3.37,3.0,IC50,=,30.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@H]1CCn2nncc2C[C@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,30.0,1
B,,847.82,1.39,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(Br)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(N)=O,30000.0,0
B,,577.82,4.71,1.0,IC50,=,5.7,nM,c1ccc(CN(Cc2ccc(-c3ccccc3CN3CCCNCCNCCCNCC3)cc2)Cc2ccccn2)nc1,5.7,1
B,,899.12,-2.87,3.0,IC50,=,5900.0,nM,C[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,5900.0,0
B,,786.91,0.76,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(N)=O,30000.0,0
F,,438.54,6.04,1.0,IC50,=,9900.0,nM,CCCCN(c1nc2ccccc2o1)[C@@H](C)c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,9900.0,0
F,,2051.45,,,IC50,=,23.5,nM,NCCCC[C@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)c2ccc3ccccc3c2)CSSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCNC(N)=O)NC1=O,23.5,1
F,,362.52,2.99,0.0,IC50,=,129.0,nM,NC/C=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,129.5,1
F,,530.71,6.34,2.0,IC50,=,143.0,nM,FC1(F)CCC(NCc2ccc(CN(C[C@H]3Cc4ccccc4CN3)[C@H]3CCCc4cccnc43)cc2)CC1,143.0,1
B,,607.47,4.99,1.0,IC50,>,35000.0,nM,Cl.c1cc(CN2CCCSCCSCCCNCC2)ccc1CN1CCCSCCSCCCNCC1,35000.0,0
B,,1499.74,,,IC50,=,4.0,nM,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C,4.0,1
B,,392.64,4.93,0.0,IC50,=,3575.0,nM,CN(/C(=N/C1CCCCC1)SCC1=CSC2=NCCN12)C1CCCCC1,2253.0,0
F,,2053.42,,,IC50,=,50.6,nM,NCCCC[C@H]1NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)c2ccc3ccccc3c2)CSSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCNC(N)=O)NC1=O,50.6,1
B,,424.55,3.22,0.0,IC50,>,10000.0,nM,CC(C)(C)OC(=O)N1CCN(N(Cc2ccncn2)C2CCCc3cccnc32)CC1,10000.0,0
B,,409.58,2.95,0.0,IC50,=,930.0,nM,CC(C)Nc1nc(CN(C)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,930.0,0
B,,998.25,-0.53,3.0,IC50,>,10000.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)O)C(C)(C)SSC1(C)C,10000.0,0
B,,519.65,5.34,2.0,IC50,=,2700.0,nM,N=C(N)NCCc1cc2cc(NC(=O)CCc3ccc(O)cc3)ccc2n1CCc1ccc2ccccc2c1,2700.0,0
B,,743.87,-0.89,2.0,IC50,=,33.0,nM,N=C(N)NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O,33.0,1
B,,649.85,2.72,3.0,IC50,=,40.4,nM,N[C@@H](CCC(=O)N1CCC(Nc2nc(NCc3cn(CCCNCCCNC4CCCCC4)nn3)nc3ccccc23)CC1)C(=O)O,40.4,1
B,,647.82,6.27,2.0,IC50,>,1000.0,nM,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,1000.0,0
F,,345.45,2.8,0.0,IC50,=,973.0,nM,NCC#CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,973.0,0
F,,546.76,5.75,2.0,IC50,=,664.0,nM,c1ccc(CN(CCCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)Cc2ccccn2)nc1,664.0,0
F,,399.54,4.73,0.0,IC50,=,142.0,nM,NCCCCN(Cc1nccc2c1[nH]c1ccccc12)C1CCCc2cccnc21,142.0,1
B,,496.65,5.07,1.0,IC50,>,60000.0,nM,C=CCN(c1ccccc1N(CC=C)S(=O)(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,60000.0,0
B,,1020.25,,,IC50,=,22.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H]1CSSC(C)(C)[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC1=O,22.0,1
B,,743.87,-0.73,2.0,IC50,=,21.0,nM,CN1C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CNC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCNC(=N)N,21.0,1
F,,495.59,6.0,1.0,IC50,>,10000.0,nM,CCCCN(c1nc2cc(NC(C)=O)ccc2o1)[C@H](C)c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,10000.0,0
B,,554.74,4.84,1.0,IC50,=,9.9,nM,C[C@@H]1CN(C(=O)Cn2c3ccccc3c3ccnc(CN(CCCCN)C4CCCc5cccnc54)c32)C[C@H](C)O1,9.9,1
B,,633.79,6.09,2.0,IC50,>,1000.0,nM,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,1000.0,0
F,,378.56,3.56,0.0,IC50,=,39.0,nM,CN1Cc2ccccc2C[C@@H]1CN(CCCCN)[C@H]1CCCc2cccnc21,29.5,1
B,,324.47,3.7,0.0,IC50,=,2511.89,nM,COc1ccccc1CN1CCC(CNCc2ccccc2)CC1,2511.89,0
B,,351.5,2.74,0.0,IC50,>,10000.0,nM,CN1CCN(c2cc(CN(C)C3CCCc4cccnc43)ccn2)CC1,10000.0,0
B,,345.49,1.67,0.0,IC50,=,25100.0,nM,Cc1c[nH]c(CN2CCC(N3CCCC(C(=O)NC4CC4)C3)CC2)n1,25100.0,0
B,,218.34,2.17,0.0,IC50,>,10000.0,nM,Cc1ccccc1CN1CCC(CN)CC1,10000.0,0
B,,2108.46,,,IC50,=,6.7,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,6.7,1
F,,352.4,3.8,0.0,IC50,=,111.0,nM,CC(c1ccccn1)N(CCCCN)Cc1ncccc1C(F)(F)F,111.0,1
B,,345.49,5.43,1.0,IC50,=,19.6,nM,CCc1ccc(NCc2cccc(CNc3ccc(CC)cc3)n2)cc1,19.6,1
F,,426.57,3.96,0.0,IC50,=,10.0,nM,NCc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1,10.0,1
B,,833.03,0.92,2.0,IC50,>,30000.0,nM,CSCC[C@H]1C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N(C)[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N1C,30000.0,0
B,,474.53,5.48,1.0,IC50,>,30000.0,nM,CC(C)(C)OC(=O)c1c(NC(=S)Nc2ccc(OC(F)(F)F)cc2)sc2c1CCOC2,30000.0,0
B,,390.53,4.59,0.0,IC50,>,30000.0,nM,CC(C)(C)OC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCOC2,30000.0,0
B,,1020.25,,,IC50,=,1.5,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H]1CSSC(C)(C)[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,1.5,1
F,,459.51,5.28,1.0,IC50,>,10000.0,nM,c1ccc(-c2nnn[nH]2)c(-c2ccc(CN(Cc3ccncc3)c3nc4ccccc4o3)cc2)c1,10000.0,0
B,,390.53,4.88,0.0,IC50,>,10000.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccccc2O)sc2c1C(C)CCC2,10000.0,0
