"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1222870";"";"None";"434.56";"0";"3.90";"2f";"Fc1ccc(C(c2nnnn2Cc2ccccc2)N2CCN(C3CCCCC3)CC2)cc1";"IC50";"'='";"285.0";"nM";"6.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"285.0"
"CHEMBL1223009";"";"None";"432.55";"0";"3.65";"3e";"Fc1ccc(C(c2nnnn2Cc2ccccc2)N2C[C@H]3CC[C@@H](C2)N3C2CCC2)cc1";"IC50";"'='";"516.0";"nM";"6.29";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"516.0"
"CHEMBL1270059";"";"None";"297.44";"0";"3.86";"8, enantiomer";"C[C@@H]1C[C@@](O)(CCc2cccc3ccccc23)[C@@H](C)CN1C";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1274954";"Antagonist activity against human histamine H3 receptor expressed in human HT1080 cells assessed as inhibition of (R)-alpha-methylhistamine-induced increase in intracellular calcium level by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-1080";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308396";"";"";"";"2.0"
"CHEMBL2403548";"";"None";"395.52";"0";"4.76";"8a";"Cc1cc(N2CC[C@H](N3CCC[C@H]3C)C2)ccc1NC(=O)c1cc(F)ccc1C";"IC50";"'='";"0.66";"nM";"9.18";"";"";"UO_0000065";"23.21";"0.43";"4.42";"25.80";"0";"CHEMBL2405025";"Antagonist activity at human histamine H3 receptor by FLIPR assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401654";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"0.66"
"CHEMBL6005581";"";"None";"586.63";"2";"6.06";"BDBM438125";"Cc1nc2ccc(S(F)(F)(F)(F)F)cc2c(=O)n1-c1ccc(OC2CCN(C(=O)C3CCN(C)CC3)CC2)cc1";"IC50";"'='";"50.5";"nM";"7.30";"";"1195269";"UO_0000065";"12.44";"0.25";"1.24";"10.78";"1";"CHEMBL5738364";"[35S]-GTPgammaS binding assay for determining inverse agonist pharmacological parameters of histamine H3 receptor ligands: Experimental procedure: 1) Membrane preparation for HEK293/Ga15/hH3R; 2) Standard binding assay. Briefly, for membrane parathion, HEK293/Ga15/hH3R cells were grown to confluence, harvested and the cell pellets were suspended in TEL buffer (50 mM Tris-HCl buffer, 1 mM EGTA, 0.1 mM PMSF). Homogenate and centrifuge at 1,000 g for 10 min. Centrifuge the supernatant at 46,000 g for 30 min. Suspend the membrane pellet in 50 mM Tris with 0.32 M sucrose, pH 7.0. Aliquot at 1 mg protein/mL. Keep frozen and store at −80° C. until use. All compounds were prepared by dissolving in DMSO to make 10 mM stock. The 10 mM stock was used as top concentration (1 μM) to carry out 10-points, 3-fold dilution scheme using DMSO in a 96-well plate to make the compound dose plate. H3R GTPγS binding assay was performed as followings: thaw the membrane at 37° C., chill on ice, add GDP and the membrane to assay buffer (50 mM Tris-HCl, 100 mM NaCl, 5 mM MgCl2, pH 7.4, and 0.2%, BSA). Stay on ice for 20 min. For inverse agonist mode: Add 20 μL testing compound (10 points, 3-fold dilution from 1 μM), 20 uL buffer, 140 μL membrane solution (GDP 10 μM, membrane protein 20 μg/well) to the assay plate, and preincubate at room temperature for 30 min. Add 20 μL [35S]-GTPγS (final 200 pM) and incubate at room temperature for 60 min. Filter the assay plate on GF/C (non-PEI coated) plate to stop the assay. Dry GF/C plate for 1 h. Add 50 μL scintillation fluid and count on the MicroBeta. Data Analysis: The CPM values were calculated into % of inhibition with the following formula: For inverse agonist mode: % of inhibition=(DMSO control CPM−Compound CPM)/(DMSO control CPM−GTP control CPM)×100.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5729267";"37";"BindingDB Patent Bioactivity Data";"";"2022";"None";"";"";"";"50.5"
"CHEMBL3753901";"";"None";"399.58";"0";"3.42";"3a";"CC(C)N1CCC(Oc2ccc3c(c2)CCN(C2CCN(C(C)C)C2)C3=O)CC1";"IC50";"'='";"14.3";"nM";"7.84";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3755093";"Antagonist activity at recombinant human H3 receptor expressed on CHO-K1 cells assessed as cAMP level by luciferase gene reporter assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3751729";"1";"Scientific Literature";"Eur J Med Chem";"2016";"CHEMBL3307512";"";"";"";"14.3"
"CHEMBL490195";"";"None";"379.55";"0";"4.56";"2b";"CN(CCN1CCCCC1)C(=O)N1CCC(c2cccc3ccccc23)CC1";"IC50";"'='";"343.0";"nM";"6.46";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986121";"Inverse agonist activity at human cloned histamine H3 receptor assessed as inhibition of (R)-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144191";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"343.0"
"CHEMBL489589";"";"None";"364.92";"0";"3.00";"2l";"CN(CCN1CCCCC1)C(=O)N1CCN(c2ccccc2Cl)CC1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986121";"Inverse agonist activity at human cloned histamine H3 receptor assessed as inhibition of (R)-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144191";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"1000.0"
"CHEMBL522117";"";"None";"384.52";"0";"2.19";"2p";"CN(CCN1CCCCC1)C(=O)N1CCC2(CC1)NC(=O)Cc1ccccc12";"IC50";"'='";"783.0";"nM";"6.11";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986121";"Inverse agonist activity at human cloned histamine H3 receptor assessed as inhibition of (R)-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144191";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"783.0"
"CHEMBL476963";"";"None";"357.50";"0";"3.05";"2y";"CN(CCN1CCCCC1)C(=O)N1CCC2(CC1)OCc1ccccc12";"IC50";"'='";"387.0";"nM";"6.41";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986121";"Inverse agonist activity at human cloned histamine H3 receptor assessed as inhibition of (R)-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144191";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"387.0"
